Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-completion-v19 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/29.67; C 21/23.67; paired Δ med/mean -5/-6 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/29.67; C 21/23.67; paired Δ med/mean -5/-6 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/29.67; C 21/23.67; paired Δ med/mean -5/-6 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 13/14.67; C 12/11.33; paired Δ med/mean -4/-3.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 146/176; C 127/125; paired Δ med/mean -64/-51 (3 pairs)
  hypothesisCombineAttempts: B med/mean 27/27; C 20/21.67; paired Δ med/mean -5/-5.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 19/19.33; C 16/15.67; paired Δ med/mean -1/-3.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 5/7.67; C 4/6; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/20.67; C 24/23; paired Δ med/mean 0/+2.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/1.67; C 1/2; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 27/25; C 16/19.33; paired Δ med/mean -5/-5.67 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 122/132.67; C 87/88.67; paired Δ med/mean -60/-44 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 18/17.67; C 12/13.67; paired Δ med/mean -1/-4 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 5/7.33; C 4/5.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1.33; C 1/2; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 1/1.33; C 2/2; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 4/3.33; C 2/2.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/1.67; C 0/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 7/7.33; C 4/5.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 5/7.33; C 3/5.67; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
