Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7e-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 10/10.33; C 18/17; paired Δ med/mean +3/+6.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 7/7; C 7/5.67; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1; C 2/2.33; paired Δ med/mean 0/+1.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 6/5; C 3/3.33; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 2/1.33; C 0/0.33; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExertNoResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/1; C 4/3.33; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 5/3.67; C 2/2.33; paired Δ med/mean -1/-1.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 4/3; C 2/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 6/5.67; C 5/5.33; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 7/6.67; C 6/4.67; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 16/14; C 19/19.67; paired Δ med/mean +3/+5.67 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 7/6; C 7/5.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisResponses: B med/mean 11/10.33; C 10/7.33; paired Δ med/mean -2/-3 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 1/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 12/12; C 0/4; paired Δ med/mean 0/-8 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
