Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v8-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/3.67; C 1/1.67; paired Δ med/mean -1/-2 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/33.67; C 12/20; paired Δ med/mean -5/-13.67 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/3.33; C 1/1.67; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 116/130.67; C 40/48.33; paired Δ med/mean -76/-82.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 693/663; C 334/306.33; paired Δ med/mean -362/-356.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 89/97.67; C 25/31.67; paired Δ med/mean -56/-66 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 35/33; C 15/16.67; paired Δ med/mean -20/-16.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 6/4.67; C 2/2.33; paired Δ med/mean -3/-2.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 13/14; C 1/4; paired Δ med/mean -8/-10 (3 pairs)
  hypothesisExertAttempts: B med/mean 5/4.67; C 3/4.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 4/3.67; C 3/4; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 2/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 16/18.67; C 5/7.33; paired Δ med/mean -9/-11.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 11/11; C 15/13.67; paired Δ med/mean +4/+2.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 2/2; C 5/6.67; paired Δ med/mean +2/+4.67 (3 pairs)
  hypothesisExposeResponses: B med/mean 9/9; C 7/7; paired Δ med/mean -3/-2 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 34/34.33; C 17/15.33; paired Δ med/mean -13/-19 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 32/31.33; C 19/18.67; paired Δ med/mean -18/-12.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 99/106.67; C 43/44; paired Δ med/mean -43/-62.67 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 16/19.67; C 4/6.67; paired Δ med/mean -12/-13 (3 pairs)
  hypothesisResponses: B med/mean 46/43.33; C 22/24; paired Δ med/mean -24/-19.33 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 5/4.67; C 2/4; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 60/52; C 24/48; paired Δ med/mean -4/-4 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 4/3.67; C 2/3.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/2.67; paired Δ med/mean 0/+2.67 (3 pairs)
