Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-local-capability-v5 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1.67; C 2/1.67; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/2; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 10/17.33; C 22/23.33; paired Δ med/mean +8/+6 (3 pairs)
  assistedDependentHibernations: B med/mean 3/3; C 2/2; paired Δ med/mean -1/-1 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 86/84.67; C 106/105.67; paired Δ med/mean +28/+21 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 85/83.67; C 100/100; paired Δ med/mean +23/+16.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 77/76.33; C 94/90; paired Δ med/mean +20/+13.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 29/27.33; C 23/23.33; paired Δ med/mean -4/-4 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 29/27.33; C 23/23.33; paired Δ med/mean -4/-4 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 29/27.33; C 23/23.33; paired Δ med/mean -4/-4 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 29/27.33; C 23/23.33; paired Δ med/mean -4/-4 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 14/13.67; C 13/12; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 191/174.33; C 151/146; paired Δ med/mean -35/-28.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 191/174.33; C 151/146; paired Δ med/mean -35/-28.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 191/174.33; C 151/146; paired Δ med/mean -35/-28.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 24/23.33; C 21/21.33; paired Δ med/mean -1/-2 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 14/15; C 14/13.33; paired Δ med/mean 0/-1.67 (3 pairs)
  hypothesisCombineResponses: B med/mean 8/8.33; C 9/8; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 3/2.33; C 1/1.33; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 24/16; C 12/12; paired Δ med/mean 0/-4 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 3/2.33; C 1/1.33; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 21/21; C 20/20; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 117/120.67; C 119/119.67; paired Δ med/mean -3/-1 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 11/12.67; C 11/12; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 8/8.33; C 9/8; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/1.33; C 1/1; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 5/5.33; C 2/2.67; paired Δ med/mean -3/-2.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 1/1.33; C 1/1; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 0/0.33; C 1/1; paired Δ med/mean 0/+0.67 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 1/2; C 2/2; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExposeAttempts: B med/mean 3/2.67; C 1/1; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExposeResponses: B med/mean 3/2.67; C 1/1; paired Δ med/mean -2/-1.67 (3 pairs)
