Paired evolution matrix comparison
Baseline: v32-founder-repro-baseline (3 runs)
Candidate: v33-founder-reproduction-long (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 107/98.67; C 89/84; paired Δ med/mean -14/-14.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 107/98.67; C 89/84; paired Δ med/mean -14/-14.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 107/98.67; C 89/84; paired Δ med/mean -14/-14.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 28/25.67; C 23/22.33; paired Δ med/mean -4/-3.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 428/422; C 313/327.33; paired Δ med/mean -115/-94.67 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 428/422; C 313/327.33; paired Δ med/mean -115/-94.67 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 428/422; C 313/327.33; paired Δ med/mean -115/-94.67 (3 pairs)
  hypothesisCombineAttempts: B med/mean 83/75.33; C 62/62.67; paired Δ med/mean -9/-12.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 73/69.33; C 56/57; paired Δ med/mean -9/-12.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 4/6; C 6/5.67; paired Δ med/mean +2/-0.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 4/4.67; C 0/0.33; paired Δ med/mean -4/-4.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 14/15.33; C 1/1; paired Δ med/mean -13/-14.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 4/4.67; C 0/0.33; paired Δ med/mean -4/-4.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 79/70.67; C 61/62.33; paired Δ med/mean -5/-8.33 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 236/229.67; C 202/196; paired Δ med/mean -31/-33.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 69/64.67; C 55/56.67; paired Δ med/mean -2/-8 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 4/6; C 6/5.67; paired Δ med/mean +2/-0.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 2/1.33; C 0/0.33; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 5/6.33; C 6/6.67; paired Δ med/mean +2/+0.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 22/22; C 19/19.67; paired Δ med/mean -3/-2.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 19/20.67; C 19/18.33; paired Δ med/mean 0/-2.33 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 2/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 10/8; C 7/7.33; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 20/20; C 17/16.67; paired Δ med/mean -3/-3.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 2/1.33; C 2/1.67; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 24/23.33; C 22/20.33; paired Δ med/mean -2/-3 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 1/2; C 1/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
