Paired evolution matrix comparison
Baseline: baseline-shared-living-v1-20260821 (3 runs)
Candidate: candidate-shared-living-v4-20260821 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  constructionProjectsCompleted: B med/mean 4/6.33; C 10/10; paired Δ med/mean +4/+3.67 (3 pairs)
  totalStructures: B med/mean 4/5; C 7/9; paired Δ med/mean +2/+4 (3 pairs)
  completedStructures: B med/mean 1/2; C 3/3; paired Δ med/mean 0/+1 (3 pairs)
  constructionPlacements: B med/mean 7/10.33; C 16/17.67; paired Δ med/mean +6/+7.33 (3 pairs)
  containersBuilt: B med/mean 2/1.67; C 2/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  standingContainers: B med/mean 2/1.67; C 2/2.33; paired Δ med/mean +1/+0.67 (3 pairs)
  containerTransfers: B med/mean 12/11; C 20/26; paired Δ med/mean +17/+15 (3 pairs)
  storedUnits: B med/mean 13/18.67; C 42/50.67; paired Δ med/mean +29/+32 (3 pairs)
  movementActions: B med/mean 1015/1303.67; C 1816/1723.67; paired Δ med/mean +891/+420 (3 pairs)
  movementActionShare: B med/mean 58.54/60.44; C 54.27/53.01; paired Δ med/mean -4.27/-7.43 (3 pairs)
  spearsCrafted: B med/mean 1/0.67; C 2/2.33; paired Δ med/mean +2/+1.67 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0; C 0/1; paired Δ med/mean 0/+1 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/2; C 4/3.67; paired Δ med/mean +2/+1.67 (3 pairs)
  animalsHunted: B med/mean 1/0.67; C 1/2.33; paired Δ med/mean +1/+1.67 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 9/9.33; C 9/8.33; paired Δ med/mean 0/-1 (3 pairs)
  predictionAccuracy: B med/mean 25/29.81; C 33.33/40.16; paired Δ med/mean +12.7/+10.34 (3 pairs)
  dehydrationHibernations: B med/mean 16/22.33; C 28/25.33; paired Δ med/mean +5/+3 (3 pairs)
  assistedDependentHibernations: B med/mean 3/3.67; C 6/7; paired Δ med/mean +1/+3.33 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 2/2.33; C 4/4.33; paired Δ med/mean +2/+2 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 53/55.67; C 98/107.33; paired Δ med/mean +57/+51.67 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 49/51; C 91/96.33; paired Δ med/mean +52/+45.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 47/47.67; C 80/93; paired Δ med/mean +49/+45.33 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 16/17.67; C 37/36; paired Δ med/mean +22/+18.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 16/17.67; C 37/36; paired Δ med/mean +22/+18.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 16/17.67; C 37/36; paired Δ med/mean +22/+18.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 16/17.67; C 37/36; paired Δ med/mean +22/+18.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 5/9.67; C 21/20.33; paired Δ med/mean +13/+10.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 57/110.67; C 237/252.33; paired Δ med/mean +180/+141.67 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
