Paired evolution matrix comparison
Baseline: candidate-visible-dedup-capability-v9 (6 runs)
Candidate: review10-baseline-7a50b51-20260820 (9 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/3
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 174/146.67; C 174/146.67; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsFulfilled: B med/mean 173/143.67; C 173/143.67; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/1.33; C 2/1.33; paired Δ med/mean 0/0 (3 pairs)
  projectSearchEpisodes: B med/mean 55/47.33; C 55/47.33; paired Δ med/mean 0/0 (3 pairs)
  projectDropEpisodes: B med/mean 88/80.33; C 88/80.33; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsActionEvents: B med/mean 653/578.67; C 653/578.67; paired Δ med/mean 0/0 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  productionProjectsCompleted: B med/mean 4/4.67; C 4/4.67; paired Δ med/mean 0/0 (3 pairs)
  constructionProjectsCompleted: B med/mean 10/10.67; C 10/10.67; paired Δ med/mean 0/0 (3 pairs)
  totalStructures: B med/mean 12/14.33; C 12/14.33; paired Δ med/mean 0/0 (3 pairs)
  completedStructures: B med/mean 1/2.33; C 1/2.33; paired Δ med/mean 0/0 (3 pairs)
  constructionPlacements: B med/mean 14/20.33; C 14/20.33; paired Δ med/mean 0/0 (3 pairs)
  containersBuilt: B med/mean 4/3.67; C 4/3.67; paired Δ med/mean 0/0 (3 pairs)
  standingContainers: B med/mean 4/3.67; C 4/3.67; paired Δ med/mean 0/0 (3 pairs)
  containerTransfers: B med/mean 8/6.33; C 8/6.33; paired Δ med/mean 0/0 (3 pairs)
  storedUnits: B med/mean 8/6.33; C 8/6.33; paired Δ med/mean 0/0 (3 pairs)
  movementActions: B med/mean 1545/1411.67; C 1545/1411.67; paired Δ med/mean 0/0 (3 pairs)
  movementActionShare: B med/mean 56.8/55.71; C 56.8/55.71; paired Δ med/mean 0/0 (3 pairs)
  spearsCrafted: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean 0/0 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  functionalInstitutions: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 1/2; C 1/2; paired Δ med/mean 0/0 (3 pairs)
  dehydrationHibernations: B med/mean 25/25.33; C 25/25.33; paired Δ med/mean 0/0 (3 pairs)
