Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v3-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  hypothesisConnectManipulatorShapesCandidates: B med/mean 693/663; C 526/540.67; paired Δ med/mean -170/-122.33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 89/97.67; C 75/70.67; paired Δ med/mean -22/-27 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 35/33; C 24/26; paired Δ med/mean -11/-7 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 6/4.67; C 3/3.67; paired Δ med/mean -3/-1 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 13/14; C 8/9.67; paired Δ med/mean -5/-4.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 5/4.67; C 2/2.33; paired Δ med/mean -2/-2.33 (3 pairs)
  hypothesisExertNoResponses: B med/mean 4/3.67; C 1/2; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 2/1.67; C 2/1.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 16/18.67; C 11/11.33; paired Δ med/mean -9/-7.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 11/11; C 9/9; paired Δ med/mean -2/-2 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 2/2; C 0/0.33; paired Δ med/mean -2/-1.67 (3 pairs)
  hypothesisExposeResponses: B med/mean 9/9; C 9/8.67; paired Δ med/mean -1/-0.33 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 34/34.33; C 24/25.67; paired Δ med/mean -5/-8.67 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 32/31.33; C 31/28.67; paired Δ med/mean -6/-2.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 99/106.67; C 80/76.33; paired Δ med/mean -19/-30.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 16/19.67; C 14/13.67; paired Δ med/mean -6/-6 (3 pairs)
  hypothesisResponses: B med/mean 46/43.33; C 33/35.33; paired Δ med/mean -13/-8 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 5/4.67; C 2/2.33; paired Δ med/mean -2/-2.33 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 60/52; C 24/28; paired Δ med/mean -16/-24 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 4/3.67; C 1/2; paired Δ med/mean -1/-1.67 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 1/1; C 0/0.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
