Paired evolution matrix comparison
Baseline: info-age-v1b-hibernation-entry-consistency-20260820 (15 runs)
Candidate: info-age-v1c-search-campaign-budget-20260820 (15 runs)
Matched by seed+years+repeat: 15; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  assistedDependentHibernations: B med/mean 4/4.67; C 4/4; paired Δ med/mean 0/-0.67 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 70/90.33; C 66/69.33; paired Δ med/mean -9/-21 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 67/87; C 64/66.33; paired Δ med/mean -8/-20.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 62/72.33; C 62/60; paired Δ med/mean -9/-12.33 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 14/17; C 13/16.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 14/17; C 13/16.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 14/17; C 13/16.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 14/17; C 13/16.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 8/9.33; C 7/8.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 93/104.33; C 81/96.33; paired Δ med/mean -12/-8 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 93/104.33; C 81/96.33; paired Δ med/mean -12/-8 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 93/104.33; C 81/96.33; paired Δ med/mean -12/-8 (3 pairs)
  hypothesisCombineAttempts: B med/mean 13/16; C 12/15.33; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 8/9.33; C 8/9.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCombineResponses: B med/mean 7/6.67; C 6/6; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 9/7; C 9/7; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 13/15.33; C 12/14.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 87/90.67; C 75/82.67; paired Δ med/mean -12/-8 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 7/8.67; C 7/8.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 7/6.67; C 6/6; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 1/1.67; C 0/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisExertAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertNoResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
